판례일련번호,구분,문장번호,내용
316133,판례내용,1,수원지방법원
316133,판례내용,2,제 6-2 형사부
316133,판례내용,3,판결
316133,판례내용,4,사건
316133,판례내용,5,"2022노2764 특수폭행, 강제추행"
316133,판례내용,6,피고인
316133,판례내용,7,A
316133,판례내용,8,항소인
316133,판례내용,9,쌍방
316133,판례내용,10,검사
316133,판례내용,11,"정○(기소), 최○(공판)"
316133,판례내용,12,변호인
316133,판례내용,13,변호사 김○(국선)
316133,판례내용,14,원심판결
316133,판례내용,15,수원지방법원 평택지원 2022.5.13.
316133,판례내용,16,선고 2021고단313 판결
316133,판례내용,17,판결선고
316133,판례내용,18,2023.7.4.
316133,판례내용,19,주문
316133,판례내용,20,원심판결을 파기한다.
316133,판례내용,21,"피고인을 벌금 3,000,000원에 처한다."
316133,판례내용,22,"피고인이 위 벌금을 납입하지 아니할 경우 100,000원을 1일로 환산한 기간 피고인을 노역장에 유치한다."
316133,판례내용,23,피고인에게 40시간의 성폭력 치료프로그램의 이수를 명한다.
316133,판례내용,24,위 벌금에 상당한 금액의 가납을 명한다.
316133,판례내용,25,이 사건 공소사실 중 특수폭행의 점은 무죄.
316133,판례내용,26,위 무죄 부분 판결의 요지를 공시한다.
316133,판례내용,27,이유
316133,판례내용,28,1.항소이유의 요지
316133,판례내용,29,가.피고인
316133,판례내용,30,1)사실오인 및 법리오해
316133,판례내용,31,다음과 같은 이유로 이 사건 공소사실을 모두 유죄로 판단한 원심에는 사실오인 및 법리오해의 위법이 있다.
316133,판례내용,32,"가)피고인은 피해자에게 쇠망치를 수차례 휘두른 사실은 있으나 피해자가 맞지 아니하였고, 당시 피해자와의 외도 여부를 추궁하기 위해 E을 찾아가기 이전에 E이 계속하여 외도사실을 부인하면 피고인이 피해자를 폭행하는 척하여 E에게 겁을 주자고 피해자와 미리 합의하여 행동한 것에 불과하여 피고인에게 폭행의 고의가 없었다."
316133,판례내용,33,나)피고인은 피해자가 E과의 성관계를 한 사실에 기분이 상하여 피해자에게 속옷을 벗으라고 하여 피해자가 스스로 팬티를 벗은 사실은 있으나 피해자로 하여금 성적 수치심을 느끼게 하려는 강제추행의 고의는 없었다.
316133,판례내용,34,2)양형부당
