판례일련번호,구분,문장번호,내용
328566,판례내용,1,서 울 북 부 지 방 법 원
328566,판례내용,2,판 결
328566,판례내용,3,사 건
328566,판례내용,4,"2022고단3836 사기, 사문서위조, 위조사문서행사"
328566,판례내용,5,"2022초기2002, 2022초기2049 각 배상명령신청"
328566,판례내용,6,피 고 인
328566,판례내용,7,A
328566,판례내용,8,검 사
328566,판례내용,9,"최○(기소), 설○(공판)"
328566,판례내용,10,변 호 인
328566,판례내용,11,법무법인 플래닛
328566,판례내용,12,"담당변호사 한○, 최○, 임○"
328566,판례내용,13,배상 신청인1)
328566,판례내용,14,1.B
328566,판례내용,15,2.C
328566,판례내용,16,판 결 선 고
328566,판례내용,17,2023.8.31.
328566,판례내용,18,주 문
328566,판례내용,19,피고인을 징역 1년 6월에 처한다.
328566,판례내용,20,"다만, 이 판결 확정일부터 3년간 위 형의 집행을 유예한다."
328566,판례내용,21,피고인에게 80시간의 사회봉사를 명한다.
328566,판례내용,22,배상신청인들의 배상명령신청을 모두 각하한다.
328566,판례내용,23,이 유
328566,판례내용,24,1)소송촉진 등에 관한 특례법 제32조 제3항에 따라 신청인의 신원을 알 수 있는 사항의 기재를 생략한다.
328566,판례내용,25,범 죄 사 실
328566,판례내용,26,【 전제사실 】
328566,판례내용,27,"보이스피싱 사기 범죄는 중국 등 해외에서 국내의 불특정 다수의 사람들에게 전화를 걸어 대출업체, 금융기관, 금융위원회 등을 사칭하여 이에 속은 피해자들로부터 현금을 전달받는 방법으로 금원을 편취하는 수법의 범행으로, '총책', '현금수거책' 및 '전달책' 등으로 각각의 역할을 분담하고 수사기관의 추적에 대비하여 점조직 형태로 운영된다."
328566,판례내용,28,【 역할분담 】
328566,판례내용,29,"보이스피싱 사기 범죄 조직의 ‘총책’은 전체 범죄를 총괄하는 역할, ‘전화유인책’은 불특정 다수의 피해자들에게 전화하여 위와 같이 피해자들을 기망하여 금융기관 직원 등을 사칭한 ‘현금수거책’에게 피해금을 교부하도록 하는 역할, 피고인을 비롯한 ‘현금 수거책’은 위 ‘총책’의 지시를 받아 금융기관 직원, 금융감독원 직원, 세무서(국세청)직원 등을 사칭한 후 피해자들을 대면하여 피해금을 받아 이를 다시 위 ‘총책’의 지시에 따라 ‘전달책’에게 전달하는 역할, ‘전달책’은 위 피해금을 받아 ‘총책’에게 전달하는 역할을 각 수행하여 보이스피싱 사기 범행을 하기로 상호, 순차 공모하였다."
328566,판례내용,30,【 범죄사실 】
328566,판례내용,31,1.사문서위조 및 위조사문서행사
