판례일련번호,구분,문장번호,내용
326801,판례내용,1,대전지방법원 천안지원
326801,판례내용,2,판 결
326801,판례내용,3,"사 건 2022고단1113, 1995(병합), 2023고단112(병합), 589(병합)업무방해, 폭행, 건조물침입미수, 모욕, 공무집행방해"
326801,판례내용,4,피고인 A
326801,판례내용,5,"검사 탁○, 박○, 유○(기소), 장○(공판)"
326801,판례내용,6,변호인 변호사 유○(국선)
326801,판례내용,7,판결선고 2023.5.9.
326801,판례내용,8,주문
326801,판례내용,9,피고인을 징역 10월에 처한다.
326801,판례내용,10,이유
326801,판례내용,11,범죄사실
326801,판례내용,12,『2022고단1113』
326801,판례내용,13,1.업무방해
326801,판례내용,14,피고인은 2022.6.26.
326801,판례내용,15,"18:10경 천안시 서북구 B에 있는 피해자 C(여, 48세)이 운영하는 ‘D’ 식당에서 술에 만취하여 특별한 이유 없이 그곳에 있는 손님들에게 ""씨발년아, 좆같은 년들아""라고 큰소리로 욕설을 하고 탁자 위에 놓여 있는 플라스틱 받침대를 밀어 떨어뜨리는 등 약 20분 동안 소란을 피워, 위력으로 피해자의 식당 운영 업무를 방해하였다."
326801,판례내용,16,2.폭행
326801,판례내용,17,피고인은 2022.6.28.
326801,판례내용,18,"20:55경 천안시 서북구 E에 있는 'F' 식당 앞 도로에서 자신을 향해 경적을 울렸다는 이유로 피해자 G(남, 35세)과 시비가 되었고, 그로부터 112신고 접수한다는 말을 듣자 이에 화가 나 주먹으로 피해자의 코 부위를 1회 때려 피해자를 폭행하였다."
326801,판례내용,19,『2022고단1995』
326801,판례내용,20,1.건조물침입미수
326801,판례내용,21,피고인은 2022.7.17.
326801,판례내용,22,"22:23경 천안시 H에 있는 피해자 I이 운영하는 ‘J’ 앞에서, 출입문을 잡아당기고 발로 차는 등의 방법으로 문을 열고 건물 안으로 들어가려고 하였으나, 시정장치가 되어 있어 문이 열리지 않아 미수에 그쳤다."
326801,판례내용,23,2.모욕
326801,판례내용,24,피고인은 2022.7.17.
