판례일련번호,구분,문장번호,내용
313696,판례내용,1,서 울 중 앙 지 방 법 원
313696,판례내용,2,판 결
313696,판례내용,3,"사 건 2023고정175 공갈미수, 강요미수"
313696,판례내용,4,피 고 인 A
313696,판례내용,5,"검 사 유○(기소), 김○(공판)"
313696,판례내용,6,변 호 인 법무법인 청린
313696,판례내용,7,담당변호사 정○
313696,판례내용,8,판 결 선 고 2023.8.18.
313696,판례내용,9,주 문
313696,판례내용,10,"피고인을 벌금 3,000,000원에 처한다."
313696,판례내용,11,"피고인이 위 벌금을 납입하지 아니하는 경우 100,000원을 1일로 환산한 기간 피고인을 노역장에 유치한다."
313696,판례내용,12,위 벌금에 상당한 금액의 가납을 명한다.
313696,판례내용,13,이 유
313696,판례내용,14,범 죄 사 실
313696,판례내용,15,"피고인은, 피해자 B(여, 42세)이 피고인의 남편인 C의 형사 사건 관련 참고인으로 수사기관에 출석하여 ‘제(피해자)가 C이 운영하는 회사에 직원으로 허위 등록되어 위 회사로부터 받은 월급은 전부 C이 제가 일하던 술집에서 마신 술값을 정산한 것이었다’는 취지로 진술한 내용이 허위 사실이었기 때문에 C이 위 형사 사건에서 실형을 선고받는 등 중한 처벌을 받았다고 생각하여 피해자를 협박하여 위 진술을 번복하게 하고 C의 구속 등으로 인해 입은 피해에 대한 위자료 명목의 돈을 갈취하기로 마음먹었다."
313696,판례내용,16,"이에 피고인은 2020.7.9.경 미국에 거주 중인 피해자에게 전화를 걸어 “나 너 D(피해자의 남편, 연예인)랑 니랑 있잖아, 같이 싸잡아 죽일거야”, “너 이거 대답 안 하면 나 바로 가서 내일 가서 E 나 있잖아.나가 가지고 F하고 애들 다 터뜨릴 거야”, “너?"
313696,판례내용,17,"이 쓰레기 같은 년.내 이 언론에 다 얘기할거야, 너.나는 잃을 게 없거든?"
313696,판례내용,18,"너는 공인이고 나는 잃을 게 없는 여편네야”, “나 너 죽이는 거 네 가족 너를 죽이고 난 죽을거야, 얘기해”, “그래서 그럼 내가 어디서, 어디까지 언론에 터뜨려줄까?"
313696,판례내용,19,사람 하나 죽는 거는 시간문제고 알아?
313696,판례내용,20,"니년 하나 죽이는 거는 나는 니 하나로 죽으면 상관없어”라고 말하며 마치 피해자가 피고인의 요구에 응하지 않을 경우, TV 프로그램에 출연 중인 피해자가 과거 술집에서 일을 했던 사실을 언론, 남편 D 등의 가족에게 폭로할 것처럼 협박한 다음, 이에 겁을 먹은 피해자에게 ① “플랜을 나한테 갖고 와.어떻게 갚겠고 너가 어떻게 앞으로 하겠고, 우리 신랑 지금, 지금 이거 들어가 있는데 네가 사실 확인서를 쓰든 네가 뭐, 와 가지고 어?"
313696,판례내용,21,아니라고 위증했다고 얘기를 하든 어?
313696,판례내용,22,"해야 되는 거 아니야?”, “그러면 사실확인서를 네가 쓴다, 그러면 사실확인서 어떻게 쓸 건데?"
313696,판례내용,23,"어떤 내용을 어떻게 쓸 건데?”, “그러면 내가 너를 어?"
313696,판례내용,24,"강제로 시킨 거고 이렇게 밖에 안 되는 거야.네가 진술, 네가 검찰에서 진술한 거 생각날 거 아니야?"
313696,판례내용,25,"그거에 대해서 네가 생각을 해.어떤 부분이 술값 변제고 어떤 부분이 내가 술값 변제가 아니고 그리고 세원에서 돈 받았을 때는 그거를 어떻게 썼고 어?”라고 말을 하고, ② “그리고 우리 아들 저렇게 만든 거 나 정신병원 간 거.어?"
313696,판례내용,26,"그거 위자료까지 하면 넌못 해도 3억은 줘야 돼.그거 어떻게 갚을 건지 생각을 해.난 받아야 되겠으니까.나 거지됐거든.난 정당한 돈을 받는 거고”라고 말을 하여, 피해자로 하여금 위 C의 형사 사건에서 참고인으로 진술한 내용을 번복하는 취지의 사실확인서를 작성하거나 수사기관에 출석하여 기존 진술을 번복하는 취지의 진술을 하게 함과 동시에 피해자로부터 위자료 명목으로 3억 원을 갈취하려고 하였으나 피해자가 이를 거절하여 그 뜻을 이루지 못하고 미수에 그쳤다."
313696,판례내용,27,증거의 요지
313696,판례내용,28,1.피고인의 일부 법정진술
313696,판례내용,29,2.증인 B의 법정진술
313696,판례내용,30,3.각 문자메시지
313696,판례내용,31,"4.1차, 2차 통화녹음 CD"
313696,판례내용,32,5.각 녹취록
313696,판례내용,33,"(피고인과 변호인은 피고인이 통화 당시 욕설과 험한 표현을 사용하였으나, 전체적으로 금전을 갈취하거나 사실확인서를 강요할 의사가 없었다는 취지로 주장한다.피해자의 진술, 통화 녹취록의 내용, 통화 녹음에서 확인할 수 있는 피해자와 피고인의 태도, 통화 이후 피고인이 피해자에게 보낸 문자메시지 내용 등을 종합하여 보면, 범죄사실과 같이 피고인 피해자에게 사실확인서 작성 등을 강요하거나 위자료 등 명목으로 돈을 받으려고 한 사실을 인정할 수 있다.피고인과 변호인의 주장은 인정할 수 없다.)"
313696,판례내용,34,법령의 적용
313696,판례내용,35,1.범죄사실에 대한 해당법조
313696,판례내용,36,"형법 제352조, 제350조 제1항(공갈미수의 점), 형법 제324조의5, 제324조 제1항(강요미수의 점)"
313696,판례내용,37,2.상상적 경합
313696,판례내용,38,"형법 제40조, 제50조"
313696,판례내용,39,3.형의 선택
313696,판례내용,40,벌금형 선택
313696,판례내용,41,4.노역장유치
313696,판례내용,42,"형법 제70조 제1항, 제69조 제2항"
313696,판례내용,43,5.가납명령
313696,판례내용,44,형사소송법 제334조 제1항
313696,판례내용,45,판사 강○ _________________________
