판례일련번호,구분,문장번호,내용
144549,판례내용,1,【피 고 인】
144549,판례내용,2,【검    사】 문지석
144549,판례내용,3,【변 호 인】 변호사 박○
144549,판례내용,4,【주    문】
144549,판례내용,5,피고인은 무죄.
144549,판례내용,6,【이    유】1.공소사실의 요지
144549,판례내용,7,피고인은 2008.10.1.
144549,판례내용,8,열리는 군산시민의 날 행사에 대한 화약류 사용 및 양수허가를 받고 화약류관리보안책임자 3급 면허를 소지하고 있는
144549,판례내용,9,공소외인을 화약류관리보안책임자로 선임하였다.
144549,판례내용,10,"공소외인은 군산시민의 날 행사 화약류관리보안책임자로 선임되었으면 화약류 취급 전반에 관한 사항을 주관하고 안전상의 감독업무를 성실히 수행해야 할 의무가 있음에도, 2008.10.1."
144549,판례내용,11,11:30경 군산시 사정동 소재 월명종합운동장 주경기장 내에서 현장에 입회하지 않은 상태에서 피고인이 화약류를 설치하였다.
144549,판례내용,12,이로써 피고인의 사용인인
144549,판례내용,13,공소외인이 피고인의 업무에 관하여 위와 같이 위반행위를 하였다.
144549,판례내용,14,2.주장 및 판단
144549,판례내용,15,가.기초사실
144549,판례내용,16,기록에 의하면 다음 사실이 인정된다.
144549,판례내용,17,(1)피고인은 2008.10.1.
144549,판례내용,18,"열리는 군산시민의 날 행사에서 꽃불류 부분을 담당하게 되어, 이에 관한 화약류 사용 및 양수허가를 받고"
144549,판례내용,19,공소외인을 화약류관리보안책임자로 선임하였다(피고인도 화약류관리보안책임자 면허를 가지고 있었지만 같은 날 저녁에 있는 다른 행사의 보안책임자로 선임되어 있는 관계로 다른 사람을 선임하여야 했다).
144549,판례내용,20,(2)당일 꽃불류는 09:00에서 10:00 사이에 사용하도록 예정되어 있어 피고인은
144549,판례내용,21,"공소외인과 06:00에 현장에서 만나기로 하였는데,"
144549,판례내용,22,공소외인이 오지 않자 피고인은 행사 연습을 고려하여 07:00경
144549,판례내용,23,공소외인이 현장에 없는 상태에서 꽃불류를 설치하였다.
144549,판례내용,24,(3)08:30경 경찰관의 확인에 의하여 현장에
144549,판례내용,25,"공소외인이 없는 것이 확인되었고, 경찰관과 피고인이"
144549,판례내용,26,공소외인에게 연락을 취한 결과
144549,판례내용,27,"공소외인은 09:20경 현장에 도착하였으며,"
144549,판례내용,28,공소외인이 설치 상황 등을 확인한 후 곧바로 꽃불류가 발사되었다.
144549,판례내용,29,나.피고인과 변호인의 주장
144549,판례내용,30,"피고인과 변호인은, 이 사건과 같이 화약류관리보안책임자가 현장에 없는 상태에서 꽃불류를 단순히 설치하기만 하는 것은 총포·도검·화약류등단속에관한법률을 위반한 것이 아니거나, 설령 위반한 것이라 하더라도"
144549,판례내용,31,공소외인이 현장에 늦게 온 것은 자녀가 아파 병원에 급히 가야 할 일이 생겼기 때문이므로 그 경위에 비추어 정당행위나 긴급피난에 해당되어 위법성이 조각되므로 무죄라는 취지로 주장한다.
144549,판례내용,32,다.관련 법령
144549,판례내용,33,총포·도검·화약류등에관한법률(이하 ‘법’)
144549,판례내용,34,법 제76조 (양벌규정)
144549,판례내용,35,"법인의 대표자나 법인 또는 개인의 대리인, 사용인 그 밖의 종업원이 그 법인 또는 개인의 업무에 관하여 이 법을 위반한 때에는 그 행위자를 벌하는 외에 그 법인 또는 개인에 대하여도 각 해당조항의 벌금형으로 벌한다."
144549,판례내용,36,법 제72조 (벌칙)
144549,판례내용,37,다음 각호의 1에 해당하는 사람은 3년 이하의 징역 또는 700만원 이하의 벌금의 형으로 벌한다.
144549,판례내용,38,6.제18조제4항 또는
144549,판례내용,39,제26조제4항의 규정에 의한 기술상의 기준이나 지시에 따르지 아니한 사람
144549,판례내용,40,법 제18조(화약류의 사용)
144549,판례내용,41,"① 화약류를 발파 또는 연소시키려는 사람은 행정안전부령이 정하는 바에 의하여 화약류의 사용지를 관할하는 경찰서장의 화약류의 사용허가를 받아야 한다.다만, 광업법에 의하여 광물의 채굴을 하는 사람과 그 밖의 대통령령으로 정하는 사람은 그러하지 아니하다."
144549,판례내용,42,②
144549,판례내용,43,"제1항의 규정에 의한 화약류의 사용허가를 받은 사람(이하 ""화약류사용자""라 한다)이 그 화약류를 허가받은 용도와 다른 용도로 사용하고자 하는 때에는"
144549,판례내용,44,제1항의 규정에 의한 화약류의 사용허가를 다시 받아야 한다.
144549,판례내용,45,③ 경찰서장은 화약류 사용의 목적ㆍ장소ㆍ일시ㆍ수량 또는 방법이 적당하지 아니하거나 공공의 안전유지에 지장이 있다고 인정되는 때에는
144549,판례내용,46,제1항 또는
144549,판례내용,47,제2항의 허가를 하여서는 아니된다.
144549,판례내용,48,④ 화약류의 발파와 연소는 대통령령이 정하는 기술상의 기준에 따라야 한다.
144549,판례내용,49,⑤ (생략)
144549,판례내용,50,총포·도검·화약류등에관한법률 시행령(이하 ‘시행령’)
144549,판례내용,51,제23조 (꽃불류 사용의 기술상의 기준)
144549,판례내용,52,① 꽃불류의 사용기준은 다음 각호와 같다.〈개정 2008.1.22〉
144549,판례내용,53,1.꽃불류를 사용하고자 하는 장소는 꽃불류의 종류 및 중량에 따라서 도로ㆍ건물ㆍ사람이나 가축등에 위해가 없도록 이들과 안전한 거리를 둘 것
144549,판례내용,54,2.풍속이 초당 10미터 이상일 때에는 꽃불류의 사용을 중지할 것
144549,판례내용,55,3.꽃불류를 사용하고자 하는 장소의 부근에는 소화작업에 필요한 장비를 갖출 것
144549,판례내용,56,4.술을 마신 사람은 꽃불류를 사용하는 작업에 종사하지 못하도록 할 것
144549,판례내용,57,"5.꽃불류(꽃불류의 발사용 화약을 포함한다)는 용기에 넣어 뚜껑을 덮고, 그 용기에는 불기를 접근시키지 아니할 것"
144549,판례내용,58,6.삭제〈2008.1.22〉
144549,판례내용,59,7.쏘아 올리는데 쓰이는 발사통은 바람이 부는 방향을 고려하여 윗방향으로 단단하게 고정시키고 사용 중에는 자주 청소를 할 것
144549,판례내용,60,8.사용준비가 끝난 쏘아 올리는 꽃불류로부터 20미터이내의 장소에서는 다른 쏘아 올리는 꽃불류를 사용하지 아니할 것
144549,판례내용,61,9.쏘아 올리는 꽃불류는 20미터이상의 높이에서 퍼지도록 할 것
144549,판례내용,62,10.굳어지거나 습기가 차거나 그 밖의 이상유무를 미리 검사하고 이상이 있다고 인정되는 꽃불류는 이를 사용하지 아니할 것
144549,판례내용,63,11.꽃불류를 발사통 안에 넣는 때에는 끈등을 사용하여 서서히 넣을 것
144549,판례내용,64,12.미리 정한 위험지역 안에 관계인 외의 출입을 금지하는 등 위해발생의 염려가 없음을 확인하고 점화할 것
144549,판례내용,65,13.꽃불류를 쏘아 올리거나 폭발 또는 연소시키고 있는 때에는 그 장소의 부근에서는 꽃불류의 발사용 화약의 계량을 하지 아니할 것
144549,판례내용,66,14.꽃불류의 발사용 화약에 점화하여도 그 화약이 폭발 또는 연소되지 아니하는 때에는 그 발사통에 많은 양의 물을 넣고 10분이상 경과한 후에 서서히 발사통을 눕히어 꽃불류를 꺼낼 것
144549,판례내용,67,15.불발된 꽃불류가 있는 때에는 지체없이 이를 회수하여 물에 넣는 등 적절한 안전조치를 할 것
144549,판례내용,68,② 쏘아 올리는 꽃불류의 사용은 화약류관리보안책임자의 책임하에 하여야 한다.
144549,판례내용,69,라.판  단
144549,판례내용,70,앞서 본 관련 법령의 내용과 죄형법정주의의 원칙상 형벌법규에 있어서 유추해석이나 확장해석이 금지되는 점(
144549,판례내용,71,대법원 2006.2.10.
144549,판례내용,72,"선고 2005도6516 판결 참조)을 종합하여 보면, 이 사건의 경우는"
144549,판례내용,73,공소외인이
144549,판례내용,74,법 제18조 제4항과 그 위임에 따른 시행령에 정해진 기술상의 기준이나 지시를 따르지 않은 경우에 해당한다고 해석되지 않는다.
144549,판례내용,75,3.결  론
144549,판례내용,76,"그렇다면, 이 사건 공소사실은 범죄로 되지 아니하는 때에 해당하므로,"
144549,판례내용,77,형사소송법 제325조 전단에 의하여 피고인에 대하여 무죄를 선고하기로 하여 주문과 같이 판결한다.
144549,판례내용,78,판사 이○
