판례일련번호,구분,문장번호,내용
312850,판례내용,1,대전지방법원 서산지원
312850,판례내용,2,판 결
312850,판례내용,3,사 건
312850,판례내용,4,2023고단941 도로교통법위반(음주운전)
312850,판례내용,5,피 고 인
312850,판례내용,6,A
312850,판례내용,7,검 사
312850,판례내용,8,"김○(기소), 공○(공판)"
312850,판례내용,9,판 결 선 고
312850,판례내용,10,2023.11.28.
312850,판례내용,11,주 문
312850,판례내용,12,피고인을 징역 2년에 처한다.
312850,판례내용,13,"다만, 이 판결 확정일부터 3년간 위 형의 집행을 유예한다."
312850,판례내용,14,피고인에게 120시간의 사회봉사와 40시간의 준법운전강의 수강을 명한다.
312850,판례내용,15,이 유
312850,판례내용,16,범죄사실
312850,판례내용,17,피고인은 2023.6.17.
312850,판례내용,18,22:10경 당진시 B아파트 지하주차장부터 위 아파트 정문 인근 도로까지 약 100m 구간에서 혈중알코올농도 0.243%의 술에 취한 상태로 (차량번호 1 생략)카니발 승용차를 운전하였다.
312850,판례내용,19,증거의 요지
312850,판례내용,20,1.피고인의 법정진술
312850,판례내용,21,"2.교통사고 발생상황보고, 교통사고보고(실황조사서), 사고현장사진, 자동차운전면허대장, 차적조회서, 의무보험조회서, 음주운전 단속결과통보서, 주취운전자 정황진술보고서, 수사보고(주취운전자 정황보고), 112 신고사건 처리표"
312850,판례내용,22,법령의 적용
312850,판례내용,23,1.범죄사실에 대한 해당법조와 형의 선택
312850,판례내용,24,"도로교통법 제148조의2 제3항 제1호, 제44조 제1항, 징역형 선택"
312850,판례내용,25,2.집행유예
312850,판례내용,26,형법 제62조 제1항
312850,판례내용,27,3.사회봉사명령과 수강명령
312850,판례내용,28,형법 제62조의2
312850,판례내용,29,양형의 이유
312850,판례내용,30,"아래의 정상과 그 밖에 피고인의 나이, 성행, 환경, 범행 방법, 경위, 범행의 동기․수단․결과, 범행 후의 정황, 혈중알코올농도 수치, 운전거리 등 이 사건 변론에 나타난 제반 양형조건을 종합적으로 고려하여 주문과 같이 형을 정한다."
312850,판례내용,31,"○ 불리한 정상: 음주운전은 타인의 생명과 신체에 위해를 줄 수 있는 사회적 위험성이 큰 범죄로 엄중하게 처벌할 필요성이 있다.피고인은 2001년, 2008년, 2010년 음주운전으로 벌금형 3회를 각 선고받은 적이 있음에도 다시 음주운전을 하였다.피고인의 운전 당시 혈중알코올농도 수치가 매우 높다."
312850,판례내용,32,"○ 유리한 정상: 피고인은 이 사건 범행을 인정하면서 반성하고 있다.다행히 타인의 인적 피해가 발생하지는 않았다.피고인은 차량을 제대로 주차하기 위해 음주운전을 하게 된 것으로 보인다.피고인은 이 사건 이후 차량을 매각한 것으로 보이고, 재범하지 않겠다고 다짐하고 있다.피고인에게 벌금형을 초과하는 전과가 없다."
312850,판례내용,33,판사 박○ _________________________
