판례일련번호,구분,문장번호,내용
316991,판례내용,1,창원지방법원 통영지원
316991,판례내용,2,판 결
316991,판례내용,3,사 건
316991,판례내용,4,2024고정129 근로기준법위반
316991,판례내용,5,피 고 인
316991,판례내용,6,A
316991,판례내용,7,검 사
316991,판례내용,8,"전○(기소), 장○(공판)"
316991,판례내용,9,판 결 선 고
316991,판례내용,10,2024.7.17.
316991,판례내용,11,주 문
316991,판례내용,12,피고인을 벌금 150만 원에 처한다.
316991,판례내용,13,피고인이 위 벌금을 납입하지 아니하는 경우 10만 원을 1일로 환산한 기간 피고인을 노역장에 유치한다.
316991,판례내용,14,위 벌금 상당액의 가납을 명한다.
316991,판례내용,15,이 유
316991,판례내용,16,범 죄 사 실
316991,판례내용,17,"피고인은 통영시 B 지선에서 상시 3명의 근로자를 사용하여 ‘C’, ‘D’이라는 상호로 가두리 양식업을 경영하고 있는 사용자이다."
316991,판례내용,18,"사용자는 근로자가 사망 또는 퇴직한 경우에는 그 지급사유가 발생한 때부터 14일 이내에 임금, 보상금, 그 밖에 일체의 금품을 지급하여야 한다."
316991,판례내용,19,"다만, 특별한 사정이 있을 경우에는 당사자 사이의 합의에 의하여 기일을 연장할 수 있다."
316991,판례내용,20,"그럼에도 피고인은 위 사업장에서 2015.2.10.부터 2022.11.14.까지 근로하다 퇴직한 E의 2022년 10월 임금 968,000원, 같은 해 11월 임금 109만 원, 위 사업장에서 2016.7.1.부터 2022.11.14.까지 근로하다 퇴직한 F의 2022년 9월 임금 168,000원, 같은 해 10월 임금 250만 원, 같은 해 11월 임금 109만 원 등 근로자 2명의 임금 합계 5,816,000원을 당사자 간 지급기일 연장에 관한 합의 없이 퇴직일로부터 14일 이내에 각각 지급하지 아니하였다."
316991,판례내용,21,증거의 요지
316991,판례내용,22,1.피고인의 법정진술
316991,판례내용,23,"2.E, F에 대한 각 경찰 진술조서"
316991,판례내용,24,3.E과 F의 근로계약서
316991,판례내용,25,법령의 적용
316991,판례내용,26,1.범죄사실에 대한 해당법조 및 형의 선택
316991,판례내용,27,"각 근로기준법 제109조 제1항, 제36조, 각 벌금형 선택"
316991,판례내용,28,2.경합범 가중
316991,판례내용,29,"형법 제37조 전단, 제38조 제1항 제2호, 제50조(범정이 더 무거운 F에 대한 근로기준법위반죄에 정한 형에 경합범 가중)"
316991,판례내용,30,3.노역장유치
316991,판례내용,31,"형법 제70조 제1항, 제69조 제2항"
316991,판례내용,32,4.가납명령
316991,판례내용,33,형사소송법 제334조 제1항
316991,판례내용,34,양형의 이유
316991,판례내용,35,"피고인에 대한 여러 양형조건들을 종합하면, 약식명령에서 정한 형은 적정하다고 판단되므로, 약식명령의 벌금액을 그대로 유지하기로 하여 주문과 같이 형을 정한다."
316991,판례내용,36,판사 김○ _________________________
