판례일련번호,구분,문장번호,내용
318596,판례내용,1,대전지방법원
318596,판례내용,2,판결
318596,판례내용,3,사건
318596,판례내용,4,"2023고단3028 교통사고처리특례법위반(치상), 도로교통법위반(음주운전)"
318596,판례내용,5,피고인
318596,판례내용,6,A
318596,판례내용,7,검사
318596,판례내용,8,"조○(기소), 유○(공판)"
318596,판례내용,9,변호인
318596,판례내용,10,법무법인 연승 담당변호사 김○
318596,판례내용,11,판결선고
318596,판례내용,12,2024.3.15.
318596,판례내용,13,주문
318596,판례내용,14,피고인을 징역 1년에 처한다.
318596,판례내용,15,"다만, 이 판결 확정일부터 2년간 위 형의 집행을 유예한다."
318596,판례내용,16,피고인에게 80시간의 사회봉사 및 40시간의 준법운전강의 수강을 명한다.
318596,판례내용,17,이유
318596,판례내용,18,범죄사실
318596,판례내용,19,1.교통사고처리특례법위반(치상)
318596,판례내용,20,가.피고인은 (차량번호 1 생략)A8 승용차의 운전업무에 종사하는 사람으로 2023.1.13.
318596,판례내용,21,00:55경 혈중알코올농도 0.128%의 술에 취한 상태로 업무로서 위 승용차를 운전하여 대전 서구 변동에 있는 수정재네거리를 안골네거리 방향에서 B 방향으로 진행하게 되었다.
318596,판례내용,22,"그곳은 중앙분리대가 설치되어 있고 피고인의 후방에서 피해자 C(남, 29세) 운전의 (차량번호 2 생략)원동기장치자전거가 진행 중이었으므로 운전업무에 종사하는 사람에게는 전후방 및 좌우를 잘 살피고 다른 차들의 동태를 잘 살피면서 진행하여 사고를 막아야 할 업무상 주의의무가 있었다."
318596,판례내용,23,그럼에도 불구하고 피고인은 이를 게을리 한 채 만연히 진행한 과실로 중앙분리대를 위 A8 승용차로 들이받아 피고인의 후방에서 진행하던 피해자 C로 하여금 위 충격으로 인해 비산된 중앙분리대 파편을 피하다가 운전 중이던 원동기장치자전거가 전도되게 하여 피해자 C에게 약 2주간의 치료가 필요한 좌측 고관절부 염좌 등을 입게 하였다.
318596,판례내용,24,나.피고인은 가.항 기재와 같이 사고를 일으킨 뒤 2023.1.13.
318596,판례내용,25,01:00경 혈중알코올 농도 0.128%의 술에 취한 상태로 업무로서 (차량번호 1 생략)A8 승용차를 운전하여 대전 서구 D 아파트 앞 도로를 B 방향에서 불티고개 방향으로 진행하게 되었다.
318596,판례내용,26,"당시 피고인의 전방에는 피해자 E(남, 48세) 운전의 (차량번호 3 생략)택시가 정차 중이었으므로 운전업무에 종사하는 사람에게는 전방 및 좌우를 잘 살피고 다른 차들의 동태를 잘 살피면서 진행하여 사고를 막아야 할 업무상 주의의무가 있었다."
318596,판례내용,27,"그럼에도 불구하고 피고인은 이를 게을리 한 채 만연히 진행한 과실로 위 택시의 뒷범퍼 부분을 들이받아 피해자 E에게 약 2주간의 치료를 필요로 하는 요추의 염좌 등을, 위 택시의 탑승자인 피해자 F(남, 23세)에게 약 2주간의 치료를 필요로 하는 요추 및 골반의 기타 및 상세불명 부분의 염좌 및 긴장 등을 각 입게 하였다."
318596,판례내용,28,2.도로교통법위반(음주운전)
318596,판례내용,29,피고인은 2023.1.13.
318596,판례내용,30,01:00경 혈중알코올농도 0.128%의 술에 취한 상태로 대전 서구 G에 있는 H 식당 앞 도로에서부터 대전 서구 D 아파트 앞 도로에 이르기까지 약 2km 구간에서 (차량번호 1 생략)A8 승용차를 운전하였다.
318596,판례내용,31,증거의 요지
318596,판례내용,32,1.피고인의 법정진술
318596,판례내용,33,2.진술서(E)
318596,판례내용,34,"3.수사보고서(피해자 C 전화통화), 수사보고서(피해자 F 전화통화), 실황조사서, 음주운전단속결과통보, 정황진술보고서, 수사보고(주취운전자정황보고)"
318596,판례내용,35,"4.각 진단서(C, E, F)"
318596,판례내용,36,5.현장사진
318596,판례내용,37,법령의 적용
318596,판례내용,38,1.범죄사실에 대한 해당법조
318596,판례내용,39,"각 교통사고처리 특례법 제3조 제1항, 제2항 단서 제8호, 형법 제268조(업무상과실치상의 점), 도로교통법 제148조의2 제3항 제2호, 제44조 제1항(음주운전의 점)"
318596,판례내용,40,2.상상적 경합
318596,판례내용,41,"형법 제40조, 제50조[교통사고처리특례법위반(치상)죄 상호간]"
318596,판례내용,42,3.형의 선택
318596,판례내용,43,"교통사고처리특례법위반(치상)죄에 대하여는 금고형, 도로교통법위반(음주운전)죄에 대하여는 징역형을 각 선택"
318596,판례내용,44,4.경합범가중
318596,판례내용,45,"형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조"
318596,판례내용,46,5.집행유예
318596,판례내용,47,형법 제62조 제1항
318596,판례내용,48,6.사회봉사 및 수강명령
318596,판례내용,49,형법 제62조의2
318596,판례내용,50,양형의 이유
318596,판례내용,51,"음주운전은 타인에게 인적, 물적 피해를 입힐 위험에 처하게 하는 범죄로서 엄히 처벌할 필요가 있다."
318596,판례내용,52,"다만, 피해자들이 입은 상해의 정도가 비교적 경미하고 자동차종합보험을 통해 피해가 회복될 것으로 보이는 점, 피해자 C와 합의하여 위 피해자가 피고인의 처벌을 원하지 아니하는 점, 피고인에게 벌금형을 초과하는 전과가 없는 점, 피고인이 이 법정에서 음주운전을 한 잘못을 반성하는 태도를 보이고 있는 점 등을 비롯하여 그 밖에 피고인의 나이, 성행, 환경, 범행의 경위 및 동기, 수단과 결과, 범행 전후의 정황 등 이 사건 기록과 변론에 나타난 모든 양형조건을 종합하여 주문과 같이 형을 정하고, 재범방지를 위하여 수강명령 등을 함께 명한다."
318596,판례내용,53,판사 장○ _________________________
