판례일련번호,구분,문장번호,내용
313633,판례내용,1,서 울 서 부 지 방 법 원
313633,판례내용,2,제 1 형 사 부
313633,판례내용,3,판 결
313633,판례내용,4,"사 건 2024노119 성폭력범죄의처벌등에관한특례법위반(성적목적공공장소침입), 성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)"
313633,판례내용,5,피 고 인 A
313633,판례내용,6,항 소 인 피고인
313633,판례내용,7,"검 사 박○(기소), 정○(공판)"
313633,판례내용,8,변 호 인 법무법인 와이케이
313633,판례내용,9,"담당변호사 변○, 장○"
313633,판례내용,10,원 심 판 결 서울서부지방법원 2024.1.17.
313633,판례내용,11,선고 2023고단2524 판결
313633,판례내용,12,판 결 선 고 2024.4.18.
313633,판례내용,13,주 문
313633,판례내용,14,피고인의 항소를 기각한다.
313633,판례내용,15,이 유
313633,판례내용,16,1.항소이유의 요지(양형부당)
313633,판례내용,17,피고인에 대한 원심의 형(징역 1년 2개월)은 너무 무거워서 부당하다.
313633,판례내용,18,2.판단
313633,판례내용,19,"원심은 ① 피고인은 상당한 기간에 걸쳐 복무하고 있던 초등학교 여자 화장실에 침입하여 피해자들이 용변 보는 모습을 몰래 촬영하거나 처음 만난 여성의 나체 등을 불법 촬영한 점, ② 피고인은 여성들을 성적 행위의 대상으로 보는 왜곡된 성적 가치관에 기초하여 이 사건 범행을 오랜 기간 반복해 온 것으로 보이는바, 그 죄질이 상당히 좋지 아니하고, 범행횟수, 피해자의 수, 촬영한 신체 부위, 범행 방법 등에 비추어 형사 책임도 무거운 점, ③ 대부분의 피해자들은 자신들의 용변 보는 모습 등이 촬영되는 등 범죄 피해를 당했는지 여부조차 알지 못하고 있는바, 피해자들이 타인으로부터 자신들의 신체가 함부로 촬영 당하였다는 사실 등을 알았다면 상당한 성적 불쾌감과 정신적 고통을 받았을 것이 분명한 점, ④ 이러한 범행은 일상생활 중 누구나 자기도 모르는 사이 불법 촬영의 대상이 될 수 있다는 불안감을 일으키고 사회 구성원들 사이의 신뢰를 저해하는 등 사회적 폐해가 크므로 엄정히 처벌할 필요가 있고, 위와 같은 범죄로부터 우리 사회를 방위하기 위해서라도 피고인을 일정 기간 사회로부터 격리하여 교정기관에서 자신의 그릇된 성행을 개선할 계기를 부여하는 것이 바람직하다고 판단되는 점을 불리한 정상으로 고려하는 한편, ① 피고인이 수사에 협조하였고, 수사기관과 이 법원에서 이 사건 범행을 모두 인정하면서 반성하는 태도를 보이고 있는 점, ② 피고인이 인적사항이 확인된 피해자에게 일정 금원을 지급하고 원만히 합의하여 위 피해자가 피고인에 대한 처벌을 원하지 않고 있고, 촬영된 영상물만으로는 피해자가 누구인지 식별할 가능성이 없어 보이는 점, ③ 피고인은 20대 초반의 사회초년생으로 아무런 범죄전력이 없고 이 사건 이후 병원에서 약물치료나 상담을 받는 과정을 통해 왜곡된 성인식을 바로잡고자 노력하는 모습을 보이고 있는바, 이러한 피고인의 노력과 가족의 지지와 선도가 재범 억지 측면에서 긍정적인 작용을 할 것으로 보이는 점을 유리한 정상으로 참작하고, 그 밖에 피고인의 나이, 성행, 환경, 범행의 동기, 수단과 결과, 범행 후의 정황 등 이 사건 기록과 변론에 나타난 여러 양형 조건들을 종합하여 피고인에 대한 형을 정하였다."
313633,판례내용,20,"원심의 양형심리 과정 및 이 사건 기록과 공판 과정에 나타난 제반 양형 조건, 법정형과 처단형의 범위 등을 종합해 볼 때, 원심의 양형 판단이 재량의 합리적인 한계를 벗어났다고 평가되지 않는다."
313633,판례내용,21,"피고인이 이 법원에서 주장하는 양형부당 사유는 원심이 피고인에 대한 형을 정하면서 이미 충분히 고려한 사정들에 해당하고, 달리 원심의 양형 판단을 그대로 유지하는 것이 부당하다고 인정할 만한 새로운 정상이나 사정변경도 없다(피고인 지인들의 탄원서만으로는 새로운 정상이나 사정변경이 생긴 것으로 보기 어렵고, 변호인이 참고자료로 제출한 판결들은 초등학교 여자 화장실에 침입하여 용변 보는 미성년자들을 촬영한 이 사건 사안과는 침입 장소, 범행 기간, 범행의 대상 및 촬영 부위, 범행 태양 및 수단, 범행 후의 정황 등에 있어 상당한 차이가 있다)."
313633,판례내용,22,피고인의 양형부당 주장은 받아들이지 않는다.
313633,판례내용,23,3.결론
313633,판례내용,24,"그렇다면 피고인의 항소는 이유 없으므로, 형사소송법 제364조 제4항에 따라 이를 기각하기로 하여 주문과 같이 판결한다."
313633,판례내용,25,재판장 판사 임○ _________________________
313633,판례내용,26,판사 백○ _________________________
313633,판례내용,27,판사 김○ _________________________
