판례일련번호,구분,문장번호,내용
319652,판례내용,1,수원고등법원
319652,판례내용,2,제 1 형사부
319652,판례내용,3,판결
319652,판례내용,4,사건
319652,판례내용,5,2023노967 마약류관리에관한법률위반(향정)
319652,판례내용,6,피고인
319652,판례내용,7,A
319652,판례내용,8,항소인
319652,판례내용,9,검사
319652,판례내용,10,"검사 전○(기소), 정○(공판)"
319652,판례내용,11,변호인
319652,판례내용,12,변호사 홍○(국선)
319652,판례내용,13,원심판결
319652,판례내용,14,수원지방법원 2023.8.24.
319652,판례내용,15,선고 2022고합728 판결
319652,판례내용,16,판결선고
319652,판례내용,17,2024.3.14.
319652,판례내용,18,주문
319652,판례내용,19,검사의 항소를 기각한다.
319652,판례내용,20,이유
319652,판례내용,21,1.검사의 항소이유 요지
319652,판례내용,22,가.사실오인 및 법리오해(무죄 부분에 대하여)
319652,판례내용,23,"B일자.경 스파이스 매매로 인한 마약류관리에관한법률위반(향정)의 점에 대하여, 원심은 피고인이 공범들에 대한 경찰 피의자신문조서 중 이 부분 공소사실과 관련된 부분을 부동의하였다는 이유로 증거능력을 인정하지 않았지만, 이는 부당하다.위 증거들은 증거능력이 인정되어야 한다.그럼에도 이 부분 공소사실을 인정할 증거가 없다고 보아 이를 무죄로 판단한 원심판결에는 사실오인 및 법리오해의 잘못이 있다."
319652,판례내용,24,나.양형부당
319652,판례내용,25,"원심이 선고한 형(징역 2년 6월, 집행유예 4년 등)은 너무 가벼워서 부당하다."
319652,판례내용,26,2.판단
319652,판례내용,27,가.사실오인 및 법리오해 주장에 대한 판단
319652,판례내용,28,1)이 부분 공소사실의 요지
319652,판례내용,29,"피고인은 B일자.경 E, J과 함께 돈을 모아 스파이스를 매수한 후 흡연하기로 모의하고, 같은 날 13:00경 화성 C 인근 도로에 주차되어 있는 성명불상의 마약 판매책의 쏘나타 승용차 안에서 위 마약 판매책에게 현금 15만 원을 지급하고, 스파이스 3봉지를 건네받았다."
319652,판례내용,30,"이로써 피고인은 E, J과 공모하여 향정신성의약품인 스파이스를 매매하였다."
319652,판례내용,31,2)판단
319652,판례내용,32,"원심은, ① 피고인이 수사기관에서부터 일관되게 이 부분 공소사실을 부인하고 있는 점, ② 이 부분 공소사실을 입증할 CCTV 등의 객관적 증거나 스파이스 판매자의 진술이 확보되어 있지 않은 점, ③ 검사가 제출한 증거들 중 피고인의 이 부분 스파이스 매수 사실을 인정할 직접적인 증거는 공범인 E, J의 진술이 유일한데, 그들은 이 부분 공소사실에 관하여 피고인과 공범의 지위에 있는 자이고, 피고인이 그들에 대한 경찰 피의자신문조서 중 이 부분 공소사실 관련 부분을 부동의하였으므로 이는 증거능력이 없는 점, ④ 달리 이 부분 공소사실을 입증할 증거가 없는 점 등의 이유를 들어 이 부분 공소사실을 무죄로 판단하였다."
319652,판례내용,33,"원심이 설시한 이유들과, 원심과 이 법원이 적법하게 채택하여 조사한 증거들을 이 사건 기록과 대조하여 살펴보면 원심의 위와 같은 판단을 수긍할 수 있다.검사는 당심에서 공범들에 대한 형사판결문을 증거로 제출하였지만, 공범들에 대한 형사재판에서 피고인의 방어권이 보장된 바 없었고, 그 형사판결문에 피고인의 가담 정도 등에 대한 구체적인 기재가 없는 점 등의 사정을 고려할 때, 위 형사판결문으로 피고인의 이 부분 공소사실을 유죄로 인정할 수는 없다.검사의 이 부분 주장을 받아들이지 않는다."
319652,판례내용,34,나.양형부당 주장에 대한 판단
319652,판례내용,35,"원심과 비교하여 양형의 조건에 변화가 없고, 원심의 양형이 재량의 합리적인 범위를 벗어나지 아니하는 경우에는 이를 존중함이 타당하다(대법원 2015.7.23."
319652,판례내용,36,선고 2015도3260 전원합의체 판결 참조).
319652,판례내용,37,"원심은 마약류 범죄는 사회에 미치는 해악이 큰 점, 피고인이 구매하고 투약한 스파이스는 환각효과가 강한 점 등을 불리한 정상으로, 피고인이 범행을 인정하며 반성하는 점, 피고인이 유통 목적으로 스파이스를 구매한 것은 아닌 점, 피고인에게 국내 처벌 전력이 없는 점 등을 유리한 정상으로 각 참작하고, 그 밖에 여러 양형조건들을 종합하여 피고인에 대한 형을 정하였다."
319652,판례내용,38,검사가 항소이유에서 주장하는 양형요소들은 이미 원심의 변론과정에 현출되었거나 원심이 그 형을 정하는 데 충분히 고려한 것으로 보인다.그리고 달리 원심판결 선고 이후 양형의 조건이 되는 사항 및 양형기준에 별다른 사정변경을 찾아볼 수 없다.
319652,판례내용,39,"그 밖에 피고인의 나이, 가족관계, 성행, 범행 후의 정황, 피고인은 외국인으로서 판결이 확정되면 송환국으로 강제 퇴거될 것으로 보이는 점 등 이 사건 변론과 기록에 나타난 양형의 조건들을 종합적으로 고려할 때, 원심의 양형은 재량의 합리적인 범위 내에서 이루어진 것으로 보인다.이와 달리 그 형이 너무 가벼워서 부당하다는 검사의 주장을 받아들이지 않는다."
319652,판례내용,40,3.결론
319652,판례내용,41,그렇다면 검사의 항소는 이유 없으므로 형사소송법 제364조 제4항에 따라 이를 기각하기로 하여 주문과 같이 판결한다.
319652,판례내용,42,재판장 판사 문○ _________________________
319652,판례내용,43,판사 김○ _________________________
319652,판례내용,44,판사 강○ _________________________
