판례일련번호,구분,문장번호,내용
318757,판례내용,1,부산지방법원
318757,판례내용,2,판결
318757,판례내용,3,사건
318757,판례내용,4,2023고단2074 모욕
318757,판례내용,5,피고인
318757,판례내용,6,A
318757,판례내용,7,검사
318757,판례내용,8,"황○(기소), 최○(공판)"
318757,판례내용,9,변호인
318757,판례내용,10,변호사 이○(국선)
318757,판례내용,11,판결선고
318757,판례내용,12,2023.10.13.
318757,판례내용,13,주문
318757,판례내용,14,이 사건 공소를 기각한다.
318757,판례내용,15,이유
318757,판례내용,16,1.공소사실의 요지
318757,판례내용,17,피고인은 2023.4.10.
318757,판례내용,18,"04:30경 부산 동구 B에 있는 ‘C’ 내에서, 손님이 술값을 지불하지 않고 행패를 부린다는 내용의 112 신고를 받고 출동한 경찰관인 피해자 D가 피고인에게 인적 사항을 요구한다는 이유로, 위 주점 업주인 E이 듣고 있는 가운데 피해자에게 ""존나 시발놈아 좆같네, 도라이 그지같은 새끼가 마 니 뭐하는데, 뭐 뭐 니 경찰이면 다가, 니 경찰이면 다가, 십새끼야 경찰이면 다가 십새끼야, 아 이 십새끼 체포하세요, 해라, 십새끼야 해라""라고 욕설하여 공연히 피해자를 모욕하였다."
318757,판례내용,19,2.판단
318757,판례내용,20,가.적용법조: 형법 제311조
318757,판례내용,21,나.친고죄: 형법 제312조 제1항
318757,판례내용,22,다.이 사건 공소제기 후 피해자의 고소취소의사가 포함된 것으로 볼 수 있는 합의 및 처벌불원의사서가 제출됨
318757,판례내용,23,라.공소기각판결: 형사소송법 제327조 제5호
318757,판례내용,24,이○의 이유로 주문과 같이 판결한다.
318757,판례내용,25,판사 정○ _________________________
